31.01.2024                                                                                Salida dinámica de lista                                                                                                                                     1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ABC SL                                                                                     Balance de Situación                                                                                                       Hora 10:58:55     Fecha 31.01.2024
Madrid                                                                                                                                                                                                               RFBILA00/73014028E Pág.           1

10                   Tipo de moneda Moneda de sociedad
EUR                  Imptes en Euro (moneda de UE a partir 01.01.1999)
2023.01 -2023.16     Períodos del informe
2022.01 -2022.16     Períodos de comparación
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Posición|Texto p.posición balance/PyG                                 |PlCt|Nº cuenta |Grp.|Cta.grp.|PlC2|Cta.alt.|Soc.|Div.|Área func.|Año|Período|Tp.moneda|Mon.|      TotPerInf|     TotPerComp|Desv. absoluta| Desv.rel.|Desv.rel.|Informe totales|
|1229    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     44.946,14 |     68.430,82 |    23.484,68-|     34,3-|    34,3-|4              |
|1228    |Amortizaciones                                               |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1228    |2811000000 AMORTIZACIÓN ACUMULADA CONSTRUCCIONES             |BERG|2811000000|CONS|281100N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    508.093,69-|    389.388,69-|   118.705,00-|     30,5-|    30,5-|               |
|1228    |2812000000 AMORTIZACIÓN ACUMULADA INSTALACIONES TÉCNICAS     |BERG|2812000000|CONS|281200N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |     25.534,00-|    25.534,00 |     100,0|   100,0 |               |
|1228    |2815000000 AMORTIZACIÓN ACUMULADA OTRAS INSTALACIONES        |BERG|2815000000|CONS|281500N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    206.280,14-|    381.065,47-|   174.785,33 |      45,9|    45,9 |               |
|1228    |2816000000 AMORTIZACIÓN ACUMULADA MOBILIARIO                 |BERG|2816000000|CONS|281600N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |      3.903,00-|     3.903,00 |     100,0|   100,0 |               |
|1228    |2817000000 AA Equipos Proceso Información                    |BERG|2817000000|CONS|281700N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     44.530,14-|     67.682,82-|    23.152,68 |      34,2|    34,2 |               |
|1228    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    758.903,97-|    867.573,98-|   108.670,01 |      12,5|    12,5 |4              |
|122     |Total inmovilizaciones inmateriales                          |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    187.879,00 |    341.158,00 |   153.279,00-|     44,9-|    44,9-|3              |
|122     |-----------------------------------                          |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|124     |Inmovilizaciones financieras                                 |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|124     |----------------------------                                 |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1245    |Cartera de valores a largo plazo                             |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1245    |2500010000 PARTICIPACIONES EN EMPRESAS  CME                  |BERG|2500010000|CONS|250000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |        120,22 |       120,22-|    100,0-|   100,0-|               |
|1245    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |          0,00 |        120,22 |       120,22-|    100,0-|   100,0-|4              |
|1247    |Depósitos y fianzas constituidos a largo pla.                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1247    |2600010000 DEPÓSITOS Y FIANZAS A LARGO PLAZO                 |BERG|2600010000|CONS|260000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    191.020,00 |    191.020,00 |         0,00 |       0,0|     0,0 |               |
|1247    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    191.020,00 |    191.020,00 |         0,00 |       0,0|     0,0 |4              |
|124     |Total inmovilizaciones financieras                           |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    191.020,00 |    191.140,22 |       120,22-|      0,1-|     0,1-|3              |
|124     |----------------------------------                           |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|12      |Total inmovilizado                                           |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  1.540.403,24 |  1.693.802,46 |   153.399,22-|      9,1-|     9,1-|2              |
|12      |==================                                           |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|14      |Activo circulante                                            |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|14      |=================                                            |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|143     |Deudores                                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|143     |--------                                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1431    |Clientes por ventas y prestaciones servicios                 |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1431    |4300000001 CLIENTES DEUDA NO VENCIDA                         |BERG|4300000001|CONS|430001N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |  2.022.298,53 |  1.626.685,26 |   395.613,27 |      24,3|    24,3 |               |
|1431    |4309000002 Clientes Facturas Pendientes de Emitir Cierre     |BERG|4309000002|CONS|430900X |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    421.099,77 |    122.897,23 |   298.202,54 |     242,6|   242,6 |               |
|1431    |4360000000 CLIENTES DE DUDOSO COBRO                          |BERG|4360000000|CONS|436000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     31.823,62 |          0,00 |    31.823,62 |          |     0,0 |               |
|1431    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  2.475.221,92 |  1.749.582,49 |   725.639,43 |      41,5|    41,5 |4              |
|1433    |Empresas asociadas, deudores                                 |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1433    |4330000001 CLIENTES EMPRESAS GRUPO                           |BERG|4330000001|CONS|433001N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    192.860,19 |    249.967,07 |    57.106,88-|     22,8-|    22,8-|               |
|1433    |5523210003 CTA CTE A EMP. GRUPO TRAMO C (BBVA)               |BERG|5523210003|CONS|552321N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR | 34.272.691,08 | 29.761.105,85 | 4.511.585,23 |      15,2|    15,2 |               |
|1433    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR | 34.465.551,27 | 30.011.072,92 | 4.454.478,35 |      14,8|    14,8 |4              |
|1436    |Administraciones Públicas                                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1436    |4700000002 HACIENDA PÚBLICA, DEUDOR POR IVA                  |BERG|4700000002|CONS|470001N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     41.870,58 |     40.025,65 |     1.844,93 |       4,6|     4,6 |               |
|1436    |4720000000 HACIENDA PÚBLICA, IVA SOPORTADO                   |BERG|4720000000|CONS|472000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      2.116,94 |      1.593,77 |       523,17 |      32,8|    32,8 |               |
|1436    |4730000000 HACIENDA PÚBLICA, RETENCIONES Y PAGOS A CUENTA    |BERG|4730000000|CONS|473000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,23-|          0,00 |         0,23-|          |     0,0 |               |
|1436    |4740000000 ACTIVOS POR DIFERENCIAS TEMPORARIAS DEDUCIBLES    |BERG|4740000000|CONS|474000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     32.511,05 |     18.933,25 |    13.577,80 |      71,7|    71,7 |               |
|1436    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     76.498,34 |     60.552,67 |    15.945,67 |      26,3|    26,3 |4              |
|1437    |Provisiones                                                  |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1437    |4900000000 DETE VALOR DE CRÉDITOS OPERACIONES COMERCIALES (-)|BERG|4900000000|CONS|490000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     31.823,62-|          0,00 |    31.823,62-|          |     0,0 |               |
|1437    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     31.823,62-|          0,00 |    31.823,62-|          |     0,0 |4              |
|143     |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR | 36.985.447,91 | 31.821.208,08 | 5.164.239,83 |      16,2|    16,2 |3              |
|144     |Inversiones financieras temporales                           |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|144     |----------------------------------                           |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1442    |Créditos a empresas del grupo                                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1442    |5343210001 Ints. a c.p. créditos a empr. Grupo TRAMO C       |BERG|5343210001|CONS|534321N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      4.782,44 |          0,00 |     4.782,44 |          |     0,0 |               |
|1442    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |      4.782,44 |          0,00 |     4.782,44 |          |     0,0 |4              |
|144     |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |      4.782,44 |          0,00 |     4.782,44 |          |     0,0 |3              |
|146     |Tesorería                                                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|146     |---------                                                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|146     |5721503154 BANCO CENTRAL HISPANO BCN C.Trfs.Nac              |BERG|5721503154|CONS|572000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |     70.691,45-|    70.691,45 |     100,0|   100,0 |               |
|146     |5723203354 BANKIA MAD PRINCIPAL                              |BERG|5723203354|CONS|572000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    808.398,01-|    622.919,92-|   185.478,09-|     29,8-|    29,8-|               |
|146     |5725330300 CRN Principal                                     |BERG|5725330300|CONS|572000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |      4.344,56 |     4.344,56-|    100,0-|   100,0-|               |
|146     |5770000000 EFECTO A PAGAR NO VENCIDOS                        |BERG|5770000000|CONS|572000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    808.398,01 |    693.611,37 |   114.786,64 |      16,5|    16,5 |               |
|146     |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |          0,00 |      4.344,56 |     4.344,56-|    100,0-|   100,0-|3              |
|147     |Ajustes por periodificación                                  |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|147     |---------------------------                                  |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|147     |4800000000 GASTOS ANTICIPADOS                                |BERG|4800000000|CONS|480000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     10.335,68 |    296.793,93 |   286.458,25-|     96,5-|    96,5-|               |
|147     |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     10.335,68 |    296.793,93 |   286.458,25-|     96,5-|    96,5-|3              |
|14      |Total activo circulante                                      |    |          |    |        |    |        |    |    |          |   |       |10       |EUR | 37.000.566,03 | 32.122.346,57 | 4.878.219,46 |      15,2|    15,2 |2              |
|14      |=======================                                      |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1       |T O T A L   A C T I V O                                      |    |          |    |        |    |        |    |    |          |   |       |10       |EUR | 38.540.969,27 | 33.816.149,03 | 4.724.820,24 |      14,0|    14,0 |1              |
|1       |=======================                                      |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
31.01.2024                                                                                Salida dinámica de lista                                                                                                                                     2
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Op. Integral Vehículos SL                                                                                     Balance de Situación                                                                                    Hora 10:58:55     Fecha 31.01.2024
Madrid                                                                                                                                                                                                               RFBILA00/73014028E Pág.           2

10                   Tipo de moneda Moneda de sociedad
EUR                  Imptes en Euro (moneda de UE a partir 01.01.1999)
2023.01 -2023.16     Períodos del informe
2022.01 -2022.16     Períodos de comparación
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Posición|Texto p.posición balance/PyG                                 |PlCt|Nº cuenta |Grp.|Cta.grp.|PlC2|Cta.alt.|Soc.|Div.|Área func.|Año|Período|Tp.moneda|Mon.|      TotPerInf|     TotPerComp|Desv. absoluta| Desv.rel.|Desv.rel.|Informe totales|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|2       |P A S I V O                                                  |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2       |===========                                                  |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|21      |Fondos propios                                               |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|21      |==============                                               |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|211     |Capital suscrito                                             |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|211     |----------------                                             |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|211     |1000000000 CAPITAL SOCIAL                                    |BERG|1000000000|CONS|100000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      3.006,00-|      3.006,00-|         0,00 |       0,0|     0,0 |               |
|211     |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |      3.006,00-|      3.006,00-|         0,00 |       0,0|     0,0 |3              |
|214     |Reservas                                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|214     |--------                                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2145    |Otras reservas                                               |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2145    |1130000000 RESERVAS VOLUNTARIAS                              |BERG|1130000000|CONS|113000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    130.900,75-|          0,00 |   130.900,75-|          |     0,0 |               |
|2145    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    130.900,75-|          0,00 |   130.900,75-|          |     0,0 |4              |
|214     |Total reservas                                               |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    130.900,75-|          0,00 |   130.900,75-|          |     0,0 |3              |
|214     |--------------                                               |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|8       |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  1.937.568,43-|    674.169,02-| 1.263.399,41-|    187,4-|   187,4-|3              |
|21      |Total fondos propios                                         |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  2.071.475,18-|    677.175,02-| 1.394.300,16-|    205,9-|   205,9-|2              |
|21      |====================                                         |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|23      |Provisiones para riesgos y gastos                            |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|23      |=================================                            |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2303    |Otras provisiones                                            |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2303    |1420000000 PROVISIÓN PARA RESPONSABILIDADES                  |BERG|1420000000|CONS|142000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     65.035,12-|          0,00 |    65.035,12-|          |     0,0 |               |
|2303    |1420010000 Prov por responsabilidades, litigios y otros      |BERG|1420010000|CONS|142000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |     65.035,12-|    65.035,12 |     100,0|   100,0 |               |
|2303    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     65.035,12-|     65.035,12-|         0,00 |       0,0|     0,0 |3              |
|23      |Total provisiones para riesgos y gastos                      |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     65.035,12-|     65.035,12-|         0,00 |       0,0|     0,0 |2              |
|23      |=======================================                      |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|24      |Acreedores a largo plazo                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|24      |========================                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|243     |Deudas con empresas del grupo y asociadas                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|243     |-----------------------------------------                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2432    |Deudas con empresas asociadas                                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2432    |1633010000 OTRAS DEUDAS A LARGO PLAZO, EMPRESAS DEL GRUPO    |BERG|1633010000|CONS|163300N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |  1.000.000,00-|  1.000.000,00-|         0,00 |       0,0|     0,0 |               |
|2432    |1633200000 OTRAS DEUDAS PARTICIPATIVAS A L/P EMP. GRUPO      |BERG|1633200000|CONS|163320N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |    272.967,79-|   272.967,79 |     100,0|   100,0 |               |
|2432    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  1.000.000,00-|  1.272.967,79-|   272.967,79 |      21,4|    21,4 |4              |
|243     |Total deudas con empresas del grupo y asocia.                |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  1.000.000,00-|  1.272.967,79-|   272.967,79 |      21,4|    21,4 |3              |
|243     |---------------------------------------------                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|24      |Total acreedores a largo plazo                               |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  1.000.000,00-|  1.272.967,79-|   272.967,79 |      21,4|    21,4 |2              |
|24      |==============================                               |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|25      |Acreedores a corto plazo                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|25      |========================                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|253     |Deudas con empresas del grupo y asociadas c.p                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|253     |---------------------------------------------                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2531    |Deudas con empresas del grupo                                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2531    |5143000000 Intereses a CP de deudas con EEGG                 |BERG|5143000000|CONS|514300N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     34.733,33-|          0,00 |    34.733,33-|          |     0,0 |               |
|2531    |5143200000 INTERESES A C/P OTRAS DEUDAS EEGG                 |BERG|5143200000|CONS|514320N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |     11.751,27-|    11.751,27 |     100,0|   100,0 |               |
|2531    |5143210001 Ints .a c. plz. deudas empresas Grupo TRAMO C     |BERG|5143210001|CONS|514321N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |      4.913,28-|     4.913,28 |     100,0|   100,0 |               |
|2531    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     34.733,33-|     16.664,55-|    18.068,78-|    108,4-|   108,4-|4              |
|2532    |Deudas con empresas asociadas                                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2532    |4130000001 ACREEDORES EMPRESAS DEL GRUPO                     |BERG|4130000001|CONS|413000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    116.917,59-|     83.740,92-|    33.176,67-|     39,6-|    39,6-|               |
|2532    |4139000002 ACREEDORES EMP GRUPO,  PTES DE RECIBIR C.PREV.    |BERG|4139000002|CONS|413900N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |     37.550,00-|    37.550,00 |     100,0|   100,0 |               |
|2532    |5133010000 OTRAS DEUDAS A CORTO PLAZO, EMPRESAS DEL GRUPO    |BERG|5133010000|CONS|513300N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      7.182,24-|          0,00 |     7.182,24-|          |     0,0 |               |
|2532    |5523010000 CUENTA CORRIENTE EE.GG.                           |BERG|5523010000|CONS|552300N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |         16,94-|        16,94 |     100,0|   100,0 |               |
|2532    |5523020000 CUENTA CORRIENTE EE.GG. MATRIZ POR IMPUESTO SOCIED|BERG|5523020000|CONS|552302N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    269.061,46-|     24.502,71-|   244.558,75-|    998,1-|   998,1-|               |
|2532    |5523210015 CTA CTE A EMP. GRUPO TRAMO C (BSCH)               |BERG|5523210015|CONS|552321N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR | 23.508.796,19-| 23.162.258,16-|   346.538,03-|      1,5-|     1,5-|               |
|2532    |5523210032 CTA CTE A EMP. GRUPO TRAMO C (CMAD)               |BERG|5523210032|CONS|552321N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |  9.918.415,67-|  7.074.611,92-| 2.843.803,75-|     40,2-|    40,2-|               |
|2532    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR | 33.820.373,15-| 30.382.680,65-| 3.437.692,50-|     11,3-|    11,3-|4              |
|253     |Total deudas empresas del grupo y asociadas                  |    |          |    |        |    |        |    |    |          |   |       |10       |EUR | 33.855.106,48-| 30.399.345,20-| 3.455.761,28-|     11,4-|    11,4-|3              |
|253     |-------------------------------------------                  |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|254     |Acreedores comerciales                                       |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|254     |----------------------                                       |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2542    |Deudas por compras o prestaciones servicios                  |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2542    |4100000001 ACREEDORES POR PRESTACIONES DE SERVICIOS (EUROS)  |BERG|4100000001|CONS|410000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    438.395,67-|    378.683,79-|    59.711,88-|     15,8-|    15,8-|               |
|2542    |4109000003 Proveedores Facturas Pendientes de Recibir (EM)   |BERG|4109000003|CONS|410900X |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    110.514,16-|    233.797,17-|   123.283,01 |      52,7|    52,7 |               |
|2542    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    548.909,83-|    612.480,96-|    63.571,13 |      10,4|    10,4 |4              |
|2543    |Deudas representadas por efectos a pagar                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2543    |4110000000 ACREEDORES, EFECTOS COMERCIALES A PAGAR           |BERG|4110000000|CONS|411000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    808.398,01-|    693.611,37-|   114.786,64-|     16,5-|    16,5-|               |
